board,algo,level,input_size,median,mean,min,max,q1,q3,n,iqr,cycles_per_byte_median
L476,aes,O3,10,6514.0,6514.0,6514,6514,6514.0,6514.0,100,0.0,651.4
L476,aes,O3,100,24534.0,24534.0,24534,24534,24534.0,24534.0,100,0.0,245.34
L476,aes,O3,1000,193283.0,193283.0,193283,193283,193283.0,193283.0,100,0.0,193.283
L476,aes,O3,10000,1890114.0,1890114.0,1890114,1890114,1890114.0,1890114.0,100,0.0,189.0114
L476,aes,Os,1,9212.0,9212.0,9212,9212,9212.0,9212.0,100,0.0,9212.0
L476,aes,Os,10,9290.0,9290.0,9290,9290,9290.0,9290.0,100,0.0,929.0
L476,aes,Os,100,34386.0,34386.0,34386,34386,34386.0,34386.0,100,0.0,343.86
L476,aes,Os,1000,269250.0,269250.0,269250,269250,269250.0,269250.0,100,0.0,269.25
L476,aes,Os,10000,2631912.0,2631912.0,2631912,2631912,2631912.0,2631912.0,100,0.0,263.1912
L476,ascon,O0,1,32074.0,32073.87,32061,32074,32074.0,32074.0,100,0.0,32074.0
L476,ascon,O0,10,32835.0,32834.87,32822,32835,32835.0,32835.0,100,0.0,3283.5
L476,ascon,O0,100,99458.0,99457.87,99445,99458,99458.0,99458.0,100,0.0,994.58
L476,ascon,O0,1000,726789.0,726788.87,726776,726789,726789.0,726789.0,100,0.0,726.789
L476,ascon,O0,10000,7028876.0,7028875.87,7028863,7028876,7028876.0,7028876.0,100,0.0,702.8876
L476,ascon,O1,1,4474.0,4473.92,4466,4474,4474.0,4474.0,100,0.0,4474.0
L476,ascon,O1,10,4768.0,4767.92,4760,4768,4768.0,4768.0,100,0.0,476.8
L476,ascon,O1,100,14233.0,14232.92,14225,14233,14233.0,14233.0,100,0.0,142.33
L476,ascon,O1,1000,104422.0,104421.92,104414,104422,104422.0,104422.0,100,0.0,104.422
L476,ascon,O1,10000,1009460.0,1009459.92,1009452,1009460,1009460.0,1009460.0,100,0.0,100.946
L476,ascon,O2,1,4219.0,4218.96,4215,4219,4219.0,4219.0,100,0.0,4219.0
L476,ascon,O2,10,4503.0,4502.96,4499,4503,4503.0,4503.0,100,0.0,450.3
L476,ascon,O2,100,13404.0,13403.96,13400,13404,13404.0,13404.0,100,0.0,134.04
L476,ascon,O2,1000,98262.0,98261.96,98258,98262,98262.0,98262.0,100,0.0,98.262
L476,ascon,O2,10000,949825.0,949824.96,949821,949825,949825.0,949825.0,100,0.0,94.9825
L476,ascon,O3,1,3327.0,3326.96,3323,3327,3327.0,3327.0,100,0.0,3327.0
L476,ascon,O3,10,3369.0,3368.96,3365,3369,3369.0,3369.0,100,0.0,336.9
L476,ascon,O3,100,9849.0,9848.96,9845,9849,9849.0,9849.0,100,0.0,98.49
L476,ascon,O3,1000,70194.0,70193.96,70190,70194,70194.0,70194.0,100,0.0,70.194
L476,ascon,O3,10000,677071.0,677070.96,677067,677071,677071.0,677071.0,100,0.0,67.7071
L476,ascon,Os,1,5820.0,5819.56,5776,5820,5820.0,5820.0,100,0.0,5820.0
L476,ascon,Os,10,6169.0,6168.56,6125,6169,6169.0,6169.0,100,0.0,616.9
L476,ascon,Os,100,18905.0,18904.54,18859,18905,18905.0,18905.0,100,0.0,189.05
L476,ascon,Os,1000,139993.0,139992.54,139947,139993,139993.0,139993.0,100,0.0,139.993
L476,ascon,Os,10000,1355183.0,1355182.6,1355143,1355183,1355183.0,1355183.0,100,0.0,135.5183
